"Tytuł projektu";"Kierownik projektu";"Data rozpoczęcia realizacji projektu";"Termin zakończenia";"Instytucja finansująca";"Środki finansowe ogółem (PLN)";"Rodzaj projektu";"Nazwa programu";"Instytucja/Jednostka realizująca";"Adres jednostki realizującej";"Status projektu";
"GRANTY NA GRANTY PROMOCJA JAKOŚCI II ""Maksymalizacja wpływu kultury Katedr Europejskiej Przestrzeni Badawczej na IGR PAN""";"prof. dr hab. Małgorzata Jędryczka";"2018-07-11";"2018-12-31";"
    •  budżet - MNiSW

";;"Projekt finansowany przez ministra właściwego do spraw nauki";"Granty na granty";"
    •  Instytut Genetyki Roślin Polskiej Akademii Nauk

";"
    •  Strzeszyńska 34, Poznań

";"W trakcie realizacji";
"Badania funkcjonalności szyku antenowego z modulacją czasową w systemie MIMO";"mgr inż. Grzegorz Bogdan";"2018-07-05";"2018-12-31";"
    •  budżet - MNiSW

";;"Inne programy";"dotacja na działalność związaną z rozwojem młodych naukowców";"
    •  Politechnika Warszawska; Wydział Elektroniki i Technik Informacyjnych

";"
    •  Nowowiejska 15/19/115, Warszawa

";"W trakcie realizacji";
"Stanowisko laboratoryjne przeznaczone do badania zjawisk nieliniowych i procesów niestacjonarnych w cyfrowych systemach przetwarzania i odtwarzania sygnałów fonicznych";"dr Marcin Paweł Lewandowski";"2018-07-05";"2018-12-31";"
    •  budżet - MNiSW

";30;"Inne programy";"dotacja na działalność związaną z rozwojem młodych naukowców";"
    •  Politechnika Warszawska; Wydział Elektroniki i Technik Informacyjnych

";"
    •  Nowowiejska 15/19/115, Warszawa

";"W trakcie realizacji";
"Monitorowanie liczebności mikroorganizmów chorobotwórczych wprowadzanych do gleby wraz z gnojowicą";"Donata Kosicka-Dziechciarek";"2018-07-03";"2018-12-31";"
    •  budżet - MNiSW

";1743;"Inne programy";"dotacja na działalność związaną z rozwojem młodych naukowców";"
    •  Uniwersytet Przyrodniczy w Poznaniu; Wydział Rolnictwa i Bioinżynierii

";"
    •  Wojska Polskiego 28/221, Poznań

";"W trakcie realizacji";
"Ocena wpływu systemów uprawy roli oraz deszczowania na liczebność wybranych grup mikroorganizmów i aktywność enzymatyczną gleby pod uprawą łubinu białego i soi w trzecim roku uprawy";"Anna Maria Tomkowiak";"2018-07-03";"2018-12-31";"
    •  budżet - MNiSW

";1743;"Inne programy";"dotacja na działalność związaną z rozwojem młodych naukowców";"
    •  Uniwersytet Przyrodniczy w Poznaniu; Wydział Rolnictwa i Bioinżynierii

";"
    •  Wojska Polskiego 28/221, Poznań

";"W trakcie realizacji";
"Analiza liczebności wybranych grup mikroorganizmów w glebie pod uprawą łubinu białego";"Zyta Barbara Waraczewska";"2018-07-03";"2018-12-31";"
    •  budżet - MNiSW

";1743;"Inne programy";"dotacja na działalność związaną z rozwojem młodych naukowców";"
    •  Uniwersytet Przyrodniczy w Poznaniu; Wydział Rolnictwa i Bioinżynierii

";"
    •  Wojska Polskiego 28/221, Poznań

";"W trakcie realizacji";
"Czy „Marea″ to Marea? Rzymski ośrodek przemysłowy i wielkie miasto bizantyńskie w regionie Mareotis (koło Aleksandrii)";"dr hab. Tomasz Derda";"2018-07-02";"2021-07-01";"
    •  budżet - NCN

";1266395;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 13";"
    •  Uniwersytet Warszawski; Wydział Historyczny

";"
    •  Krakowskie Przedmieście 26/28, Warszawa

";"W trakcie realizacji";
"Nietypowe galaktyki w kontekście kosmologicznym";"Ivana Ebrová";"2018-07-02";"2021-07-01";"
    •  budżet - NCN

";752100;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATA; edycja 13";"
    •  Centrum Astronomiczne im. Mikołaja Kopernika Polskiej Akademii Nauk

";"
    •  Bartycka 18, Warszawa

";"W trakcie realizacji";
"Od modeli rdzenia i skorupy gwiazd neutronowych do obserwacji pulsarów i źródeł rentgenowskich";"  dr Morgane Fortin";"2018-07-02";"2021-07-01";"
    •  budżet - NCN

";807400;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATA; edycja 13";"
    •  Centrum Astronomiczne im. Mikołaja Kopernika Polskiej Akademii Nauk

";"
    •  Bartycka 18, Warszawa

";"W trakcie realizacji";
"Wieloskalowy model mechanizmów pękania materiałów niejednorodnych w warunkach obciążeń złożonych w ekstremalnie niskich temperaturach";"prof. dr hab. Błażej Tomasz Skoczeń";"2018-07-02";"2021-07-01";"
    •  budżet - NCN

";"1’125’406";"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Politechnika Krakowska im. Tadeusza Kościuszki; Wydział Mechaniczny

";"
    •  Jana Pawła II 37, Kraków

";"W trakcie realizacji";
"Badanie procesów zachodzących w układzie nanokrystaliczne żelazo / amoniak / wodór";"prof. dr hab. Walerian Arabczyk";"2018-07-02";"2021-07-01";"
    •  budżet - NCN

";"1’414’100";"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Zachodniopomorski Uniwersytet Technologiczny w Szczecinie; Wydział Technologii i Inżynierii Chemicznej

";"
    •  Piastów 42, Szczecin

";"W trakcie realizacji";
"Adopcja jako proces, doświadczenie i instytucja. Perspektywa antropologiczna";"dr Ewa Małgorzata Maciejewska-Mroczek";"2018-07-02";"2021-07-01";"
    •  budżet - NCN

";"1’522’970";"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Warszawski; Wydział Historyczny

";"
    •  Krakowskie Przedmieście 26/28, Warszawa

";"W trakcie realizacji";
"Badanie urydylacji RNA jako mechanizmu regulacji ekspresji genów u człowieka";"dr Zbigniew Warkocki";"2018-07-02";"2021-07-01";"
    •  budżet - NCN

";"1’150’000";"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"SONATA; edycja 13";"
    •  Instytut Chemii Bioorganicznej Polskiej Akademii Nauk

";"
    •  Zygmunta Noskowskiego 12/14, Poznań

";"W trakcie realizacji";
"Badanie odporności na detonację próbki nawozu o numerze identyfikacyjnym 245/148/18";"mgr inż. Janusz ŚLIWIŃSKI";"2018-07-02";"2018-07-31";"
    •  środki przedsiębiorstw krajowych

";;"Inne programy";"Inny program (inny)";"
    •  Wojskowy Instytut Techniki Inżynieryjnej im. profesora Józefa Kosackiego

";"
    •  Obornicka 136, Wrocław

";"W trakcie realizacji";
"Technologia otrzymywania stentów naczyniowych nowej generacji metodą mikrowtrysku";"prof. dr. hab. Janusz Edward Kasperczyk";"2018-07-01";"2021-06-30";"
    •  Europejski Fundusz Rozwoju Regionalnego (EFRR)

";"5.166.954";"Projekt o charakterze badawczym finansowany w ramach programu operacyjnego";"Projekt Operacyjny Inteligentny Rozwój";"
    •  Centrum Materiałów Polimerowych i Węglowych Polskiej Akademii Nauk

";"
    •  Marii Curie-Skłodowskiej 34, Zabrze

";"W trakcie realizacji";
"Parafie i kościoły polskie w USA - inwentaryzacja źródłowa i fotograficzna. ""Polish Cathedrals"" (część II)";"prof. Jacek Gołębiowski";"2018-07-01";"2018-12-31";"
    •  budżet - inne resorty

";170;"Projekt o charakterze badawczym finansowany w ramach programu operacyjnego";"Inny program (Ochrona dziedzictwa kulturowego za granicą)";"
    •  Towarzystwo Przyjaciół Katolickiego Uniwersytetu Lubelskiego
    •  Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie; Wydział Nauk Historycznych i Społecznych

";"
    •  Fryderyka Chopina 29/11, Lublin
    •  Kazimierza Wóycickiego 1/3/bud 23, Warszawa

";"W trakcie realizacji";
"Opracowanie technologii produkcji wysokiej jakości, bezpiecznych dla konsumenta owoców i warzyw z zastosowaniem nowych biopreparatów w ochronie upraw przed chorobami. BioSafeFood";"dr hab. Joanna Puławska";"2018-07-01";"2021-06-30";"
    •  budżet - NCBR

";;"Projekt finansowany przez Narodowe Centrum Badań i Rozwoju";"Projekty rozwojowe; Konkurs X";"
    •  Instytut Ogrodnictwa

";"
    •  Konstytucji 3 Maja 1/3, Skierniewice

";"W trakcie realizacji";
"MultiGATE: dual-analyte responsive fluorescent probes for a real-time multi-parametric sensing in cellular models";"dr Jacek Łukasz Kolanowski";"2018-07-01";"2020-06-30";"
    •  budżet - FnRNP

";799933;"Projekt o charakterze badawczym finansowany w ramach programu operacyjnego";"Projekt Operacyjny Inteligentny Rozwój";"
    •  Instytut Chemii Bioorganicznej Polskiej Akademii Nauk

";"
    •  Zygmunta Noskowskiego 12/14, Poznań

";"W trakcie realizacji";
"CLARIN ERIC-European Research Infrastructure Consortium: Common Language Resources and technology Infrastructure. - (CLARIN PLTer)";"dr MACIEJ TOMASZ PIASECKI";"2018-07-01";"2021-06-30";"
    •  budżet - MNiSW

";;"Inne programy";"Inny program (CLARIN)";"
    •  Politechnika Wrocławska; Wydział Informatyki i Zarządzania

";"
    •  Ignacego Łukasiewicza 5, Wrocław

";"W trakcie realizacji";
"The use of spectroscopic methods to evaluate bone formation on biomaterials of ceramic type in vitro";"dr Anna Agnieszka Sroka-Bartnicka";"2018-07-01";"2020-06-30";"
    •  Europejski Fundusz Rozwoju Regionalnego (EFRR)

";;"Projekt o charakterze badawczym finansowany w ramach programu operacyjnego";"Projekt Operacyjny Inteligentny Rozwój";"
    •  Uniwersytet Medyczny w Lublinie; Wydział Farmaceutyczny z Oddziałem Analityki Medycznej

";"
    •  Aleja Racławickie 1, Lublin

";"W trakcie realizacji";
"CLARIN ERIC - European Research Infrastructure Consortium: Common Language Resources and Technology Infrastructure""";"dr Piotr Pęzik";"2018-07-01";"2021-06-30";"
    •  budżet - MNiSW

";;"Projekt finansowany przez ministra właściwego do spraw nauki";"Granty na granty";"
    •  Uniwersytet Łódzki; Wydział Filologiczny

";"
    •  Pomorska 171/173, Łódź

";"W trakcie realizacji";
"Astrocent: Particle Astrophysics Science and Technology Centre";"prof. dr hab. Leszek Roszkowski";"2018-07-01";"2023-06-30";"
    •  Europejski Fundusz Rozwoju Regionalnego (EFRR)

";37999977;"Projekt o charakterze badawczym finansowany w ramach programu operacyjnego";"Projekt Operacyjny Inteligentny Rozwój";"
    •  Centrum Astronomiczne im. Mikołaja Kopernika Polskiej Akademii Nauk

";"
    •  Bartycka 18, Warszawa

";"W trakcie realizacji";
"Identyfikacja jednogenowych przyczyn poronień nawracających, z wykorzystaniem techniki sekwencjonowania nowej generacji (NGS)";"lek. Karolina Matuszewska";"2018-06-29";"2021-06-28";"
    •  budżet - NCN

";206920;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu; Wydział Lekarski I

";"
    •  Aleksandra Fredry 10, Poznań

";"W trakcie realizacji";
"Ocena biozgodności dializy otrzewnowej - mezotelium otrzewnowe- śródbłonek tętniczy";"prof. dr hab. Andrzej Bręborowicz";"2018-06-29";"2021-06-28";"
    •  budżet - NCN

";658 800,00 zł;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu; Wydział Lekarski II

";"
    •  Bukowska 70, Poznań

";"W trakcie realizacji";
"Transformacje minerałów i dystrybucja REE, Th, U i Pb w procesach przeobrażeń monacytu, ksenotymu i allanitu w nano- i mikroskali oraz rozwój analityczny mikrosondy elektronowej i mikro-spektroskopii Ramana dla tych faz";"dr hab. Bartosz Budzyń";"2018-06-29";"2021-06-28";"
    •  budżet - NCN

";793 790,00 zł;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Instytut Nauk Geologicznych Polskiej Akademii Nauk

";"
    •  Twarda 51/55, Warszawa

";"W trakcie realizacji";
"Zmiany w składzie białek rybosomalnych i w oddziałujących z rybosomami krótkich niekodujących RNA w Saccharomyces cerevisiae w odpowiedzi na stres środowiskowy";"dr hab. Kamilla Bąkowska-Żywicka";"2018-06-29";"2021-06-28";"
    •  budżet - NCN

";1 144 400,00 zł;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Instytut Chemii Bioorganicznej Polskiej Akademii Nauk

";"
    •  Zygmunta Noskowskiego 12/14, Poznań

";"W trakcie realizacji";
"Nowe perspektywy metatezy olefin: metaloorganiczne helisy z achiralnych substratów";"dr hab. WŁODZIMIERZ BUCHOWICZ";"2018-06-29";"2021-06-28";"
    •  budżet - NCN

";770 000,00 zł;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Politechnika Warszawska; Wydział Chemiczny

";"
    •  Stanisława Noakowskiego 3, Warszawa

";"W trakcie realizacji";
"Badanie oddziaływań barionów i antybarionów w zderzeniach relatywistycznych jonów w eksperymentach STAR na RHIC i ALICE na LHC";"dr hab. ADAM KISIEL";"2018-06-29";"2021-06-28";"
    •  budżet - NCN

";1 068 800,00 zł;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Politechnika Warszawska; Wydział Fizyki

";"
    •  Koszykowa 75, Warszawa

";"W trakcie realizacji";
"Przetwarzanie energii w obszarze średnich napięć z wykorzystaniem przyrządów mocy z węglika krzemu";"dr hab. Jacek Adam Rąbkowski";"2018-06-29";"2021-06-28";"
    •  budżet - NCN

";947 000,00 zł;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Politechnika Warszawska; Wydział Elektryczny

";"
    •  Pl. Politechniki 1/216, Warszawa

";"W trakcie realizacji";
"Chromodynamika kwantowa a podłużna i poprzeczna struktura materii kwarkowo-gluonowej";"dr hab. Krzysztof Kutak";"2018-06-29";"2021-06-28";"
    •  budżet - NCN

";474 700,00 zł;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Instytut Fizyki Jądrowej im. Henryka Niewodniczańskiego Polskiej Akademii Nauk

";"
    •  Eljasza Walerego Radzikowskiego 152, Kraków

";"W trakcie realizacji";
"Przewidywania najwyższej precyzji w chromodynamice kwantowej dla procesów na LHC";"dr hab. Sebastian Sapeta";"2018-06-29";"2021-06-28";"
    •  budżet - NCN

";498 280,00 zł;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Instytut Fizyki Jądrowej im. Henryka Niewodniczańskiego Polskiej Akademii Nauk

";"
    •  Eljasza Walerego Radzikowskiego 152, Kraków

";"W trakcie realizacji";
"Nadrozdzielczość ukryta w polu dalekim i przekształcenia przestrzenno-widmowe";"dr hab. Rafał Zdzisław Kotyński";"2018-06-29";"2020-06-28";"
    •  budżet - NCN

";1 099 300,00 zł;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Warszawski; Wydział Fizyki

";"
    •  Ludwika Pasteura 5, Warszawa

";"W trakcie realizacji";
"Korelaty percepcyjne i akustyczne akcentu rytmicznego";"dr Janina Mołczanow";"2018-06-29";"2021-06-28";"
    •  budżet - NCN

";454 770,00 zł;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Warszawski; Wydział Lingwistyki Stosowanej

";"
    •  Szturmowa 4, Warszawa

";"W trakcie realizacji";
"Stany związane w nadprzewodnikach i na międzyzłączach";"prof. dr hab. Tadeusz Krzysztof Domański";"2018-06-29";"2021-06-28";"
    •  budżet - NCN

";799 920,00 zł;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Matematyki, Fizyki i Informatyki

";"
    •  Idziego Radziszewskiego 10, Lublin

";"W trakcie realizacji";
"Kompleks enzymatyczny glikozylotransferaz Rhizobium leguminosarum jako model bakteryjnego szlaku biosyntezy egzopolisacharydu";"dr Małgorzata Marczak";"2018-06-29";"2021-06-28";"
    •  budżet - NCN

";814 400,00 zł;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Marii Curie-Skłodowskiej w Lublinie; Wydział Biologii i Biotechnologii

";"
    •  Akademicka 19, Lublin

";"W trakcie realizacji";
"Relacje społeczne jako stymulanta innowacyjności organizacyjnej - kontekst współpracy międzyorganizacyjnej w wybranych sektorach kreatywnych";"dr hab. Katarzyna Czernek";"2018-06-29";"2021-06-28";"
    •  budżet - NCN

";491 219,00 zł;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Ekonomiczny w Katowicach; Wydział Zarządzania

";"
    •  1 Maja 50, Katowice

";"W trakcie realizacji";
"Badania oddziaływania nanorurek węglowych z telomerycznym DNA przy użyciu metod dynamiki molekularnej";"prof. dr hab. Tomasz Pańczyk";"2018-06-29";"2021-06-28";"
    •  budżet - NCN

";803 240,00 zł;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Instytut Katalizy i Fizykochemii Powierzchni im. Jerzego Habera Polskiej Akademii Nauk

";"
    •  Niezapominajek 8, Kraków

";"W trakcie realizacji";
"Opracowanie innowacyjnej metody wyznaczania precyzyjnej trajektorii pojazdu szynowego w ramach Wspólnego Przedsięwzięcia BRIK";"dr hab. Andrzej Wilk";"2018-06-28";"2021-05-31";"
    •  budżet - NCBR

";2676070;"Projekt o charakterze badawczym finansowany w ramach programu operacyjnego";"Projekt Operacyjny Inteligentny Rozwój";"
    •  Politechnika Gdańska; Wydział Elektrotechniki i Automatyki
    •  Akademia Morska w Gdyni; Wydział Nawigacyjny

";"
    •  Gabriela Narutowicza 11/12, Gdańsk
    •  Aleja Jana Pawła II 3, Gdynia

";"W trakcie realizacji";
"Czerwone nowe i ich pozostałości";"prof. dr hab. Romuald Tylenda";"2018-06-27";"2021-06-26";"
    •  budżet - NCN

";494000;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Centrum Astronomiczne im. Mikołaja Kopernika Polskiej Akademii Nauk

";"
    •  Bartycka 18, Warszawa

";"W trakcie realizacji";
"Badania wpływu mikrostruktury na proces reaktywnego przepływu w porowatych komponentach ogniw wysokotemperaturowych";"Samih Haj Ibrahim";"2018-06-27";"2021-06-26";"
    •  budżet - NCN

";170800;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"PRELUDIUM; edycja 14";"
    •  Politechnika Warszawska; Wydział Inżynierii Materiałowej

";"
    •  Wołoska 141, Warszawa

";"W trakcie realizacji";
"Teorie prawdy i ich siła";"dr hab. Cezary Wiesław Cieśliński";"2018-06-27";"2020-06-26";"
    •  budżet - NCN

";266700;"Projekt naukowy finansowany przez Narodowe Centrum Nauki";"OPUS; edycja 14";"
    •  Uniwersytet Warszawski; Wydział Filozofii i Socjologii

";"
    •  Nowy Świat 69, Warszawa

";"W trakcie realizacji";
